=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
------------------------------------------------------------
IM2COL         2.673       [1,102400,27]        values=[0.0000,0.0000,0.0000,0.0000,0.6738,...]
RESHAPE        0.004       [16,27]              values=[-2.751,-0.387,3.5664,-6.968,-0.916,...]
MATMUL_ND      5.028       [1,102400,16]        values=[21.015,0.3203,-23.34,15.656,-22.53,...]
ADD            15.352      [1,102400,16]        values=[22.890,1.9365,-21.53,22.906,-19.20,...]
RESHAPE        0.919       [1,320,320,16]       values=[22.890,1.9365,-21.53,22.906,-19.20,...]
TRANSPOSE      5.352       [1,16,320,320]       values=[22.890,1.5029,1.5029,1.4833,1.5302,...]
SIGMOID        1.126       [1,16,320,320]       values=[1.0000,0.8178,0.8178,0.8149,0.8222,...]
MULTIPLY       1.661       [1,16,320,320]       values=[22.890,1.2294,1.2294,1.2089,1.2578,...]
IM2COL         3.565       [1,25600,144]        values=[0.0000,0.0000,0.0000,0.0000,22.890,...]
RESHAPE        0.005       [32,144]             values=[0.0099,0.0940,0.0476,0.0452,-0.110,...]
MATMUL_ND      4.326       [1,25600,32]         values=[-4.011,27.390,19.343,-2.761,-14.50,...]
ADD            7.510       [1,25600,32]         values=[-0.582,29.078,16.578,-3.773,-12.28,...]
RESHAPE        0.315       [1,160,160,32]       values=[-0.582,29.078,16.578,-3.773,-12.28,...]
TRANSPOSE      1.978       [1,32,160,160]       values=[-0.582,0.7871,0.7382,0.8085,0.9355,...]
SIGMOID        0.497       [1,32,160,160]       values=[0.3583,0.6870,0.6767,0.6918,0.7182,...]
MULTIPLY       0.638       [1,32,160,160]       values=[-0.208,0.5405,0.4997,0.5595,0.6718,...]
IM2COL         1.567       [1,25600,32]         values=[-0.208,29.078,16.578,-0.084,-0.000,...]
RESHAPE        0.002       [32,32]              values=[0.0193,0.3801,0.1696,0.0635,0.0681,...]
MATMUL_ND      2.314       [1,25600,32]         values=[14.421,-4.417,-9.914,2.2812,-8.429,...]
ADD            7.437       [1,25600,32]         values=[17.578,-0.066,-4.312,4.8906,-10.53,...]
RESHAPE        0.301       [1,160,160,32]       values=[17.578,-0.066,-4.312,4.8906,-10.53,...]
TRANSPOSE      2.158       [1,32,160,160]       values=[17.578,14.398,14.820,15.046,15.218,...]
SIGMOID        0.514       [1,32,160,160]       values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.730       [1,32,160,160]       values=[17.578,14.398,14.820,15.046,15.218,...]
SLICE          0.162       [1,16,160,160]       values=[17.578,14.398,14.820,15.046,15.218,...]
SLICE          0.154       [1,16,160,160]       values=[0.0819,0.5385,0.5952,0.3530,0.2479,...]
IM2COL         2.949       [1,25600,144]        values=[0.0000,0.0000,0.0000,0.0000,0.0819,...]
RESHAPE        0.004       [8,144]              values=[-0.002,0.0088,0.0028,-0.003,0.0842,...]
MATMUL_ND      1.403       [1,25600,8]          values=[0.6762,-1.955,-1.105,-3.650,0.1149,...]
ADD            1.857       [1,25600,8]          values=[1.4619,-0.547,-1.429,-3.945,1.4902,...]
RESHAPE        0.059       [1,160,160,8]        values=[1.4619,-0.547,-1.429,-3.945,1.4902,...]
TRANSPOSE      0.534       [1,8,160,160]        values=[1.4619,1.4062,1.3710,1.3496,1.3300,...]
SIGMOID        0.151       [1,8,160,160]        values=[0.8120,0.8032,0.7973,0.7939,0.7910,...]
MULTIPLY       0.147       [1,8,160,160]        values=[1.1875,1.1298,1.0927,1.0712,1.0517,...]
IM2COL         1.473       [1,25600,72]         values=[0.0000,0.0000,0.0000,0.0000,1.1875,...]
RESHAPE        0.003       [16,72]              values=[-0.047,1.5146,-1.135,-0.109,3.3066,...]
MATMUL_ND      1.871       [1,25600,16]         values=[-3.574,0.3203,1.0673,-5.218,11.539,...]
ADD            3.993       [1,25600,16]         values=[-4.355,-3.882,-9.906,-6.648,6.8867,...]
RESHAPE        0.194       [1,160,160,16]       values=[-4.355,-3.882,-9.906,-6.648,6.8867,...]
TRANSPOSE      1.014       [1,16,160,160]       values=[-4.355,0.8842,2.4824,1.3066,1.4980,...]
SIGMOID        0.429       [1,16,160,160]       values=[0.0126,0.7075,0.9228,0.7871,0.8173,...]
MULTIPLY       0.472       [1,16,160,160]       values=[-0.055,0.6254,2.2910,1.0283,1.2246,...]
ADD            0.533       [1,16,160,160]       values=[0.0267,1.1640,2.8867,1.3808,1.4726,...]
CONCAT         0.324       [1,32,160,160]       values=[17.578,14.398,14.820,15.046,15.218,...] weights=[0.0819,0.5385,0.5952,0.3530,0.2479,...]
CONCAT         0.429       [1,48,160,160]       values=[17.578,14.398,14.820,15.046,15.218,...] weights=[0.0267,1.1640,2.8867,1.3808,1.4726,...]
IM2COL         3.754       [1,25600,48]         values=[17.578,-0.032,-0.057,4.8554,-0.000,...]
RESHAPE        0.004       [64,48]              values=[0.0781,0.0118,0.0192,-0.008,0.0075,...]
MATMUL_ND      5.076       [1,25600,64]         values=[0.1729,-10.57,-10.12,-0.436,17.828,...]
ADD            14.701      [1,25600,64]         values=[5.3242,-8.148,-5.964,0.0590,7.7265,...]
RESHAPE        0.743       [1,160,160,64]       values=[5.3242,-8.148,-5.964,0.0590,7.7265,...]
